GEOID,B02001_003E,B02001_001E,SUMLEVEL,ST,COUNTY,B19080_001E,B19080_002E,B19080_003E,B19080_004E,B19080_005E,B19081_001E,B19081_002E,B19081_003E,B19081_004E,B19081_005E,B19081_006E,B19013_001E,B01003_001E,COMPONENT,B19083_001E
05000US05113,30,20140,050,05,113,14682,26981,40572,63194,104471,8963,21114,33571,50418,95104,145969,33274,20140,00,0.412
05000US05115,1992,58963,050,05,115,16255,30257,47142,75252,129756,9461,22925,38474,59039,117787,180698,38511,58963,00,0.436
05000US05117,1360,8776,050,05,117,13448,24884,37602,59685,98080,7953,19645,31609,47989,88397,130043,32176,8776,00,0.412
05000US05119,127007,375518,050,05,119,19078,35277,55254,90202,170227,10552,27202,44625,70739,165354,305672,44370,375518,00,0.483
05000US05121,184,18058,050,05,121,12372,22898,38092,60406,116422,7599,17252,29199,50302,104247,182170,28427,18058,00,0.468
05000US05123,13538,26769,050,05,123,9828,20081,35896,55352,96314,5572,14893,27301,45128,90153,148375,27016,26769,00,0.467
05000US05125,3923,95000,050,05,125,25166,42122,61440,90426,141982,14593,33564,51532,74028,130906,194468,51082,95000,00,0.383
05000US05127,0,11170,050,05,127,14104,24547,40468,63241,121086,8605,19155,32614,51025,97106,136937,33969,11170,00,0.425
05000US05129,0,8002,050,05,129,11497,21732,35034,57042,101470,6457,15567,27549,44230,85814,122333,27071,8002,00,0.443
05000US05131,7272,121325,050,05,131,17932,30452,49113,76282,141341,10370,23961,39346,61231,136371,242687,39131,121325,00,0.462
05000US05133,619,16516,050,05,133,15954,26843,40755,63770,115985,9476,21026,34280,50336,105628,178886,34090,16516,00,0.434
05000US05135,104,17689,050,05,135,12650,22699,37726,55364,91331,7080,17642,29829,46018,85849,136996,29589,17689,00,0.428
05000US05137,0,11920,050,05,137,11609,21723,34548,52006,102746,6661,16256,27482,42283,90761,144997,27167,11920,00,0.454
05000US05139,14232,43157,050,05,139,13301,27297,46137,74547,125997,7222,19807,36383,58602,119962,195677,35732,43157,00,0.468
05000US05141,167,16411,050,05,141,14257,25520,38597,59955,101705,8297,20064,30747,49514,93478,144577,30531,16411,00,0.423
05000US05143,6164,193353,050,05,143,19430,34581,53327,84300,145666,10858,26626,43624,66454,139438,240149,43317,193353,00,0.447
05000US05145,3201,73838,050,05,145,17657,30519,46667,76411,127490,10143,23994,38388,60199,128618,231591,38417,73838,00,0.454
05000US05147,2308,7677,050,05,147,10122,20977,34195,59073,114279,4958,15235,27816,45360,122231,243536,27880,7677,00,0.538
05000US05149,284,21912,050,05,149,17265,29653,43761,67449,97956,10854,22888,36510,54188,92942,132973,36398,21912,00,0.382
05000US06001,187300,1457095,050,06,001,26922,53805,87027,135805,232638,14218,40340,69424,108987,219301,357410,68863,1457095,00,0.454
05000US06003,0,1153,050,06,003,26552,44657,69867,103433,159544,16061,35751,56228,87050,190469,364536,54605,1153,00,0.453
05000US06005,841,38039,050,06,005,27062,46904,67804,99250,160384,15761,37024,56798,82651,151994,234022,57347,38039,00,0.396
05000US06007,3498,217917,050,06,007,17726,32948,53481,85521,149267,10168,24986,42325,67750,139070,228179,42002,217917,00,0.455
05000US06009,651,46548,050,06,009,24428,44623,68840,101185,167618,13656,34752,56871,84603,150697,227812,57676,46548,00,0.406
05000US06011,241,21001,050,06,011,22002,36496,57282,89314,149186,12553,28977,46545,70961,138454,210959,47150,21001,00,0.423
05000US06013,93210,1015571,050,06,013,32730,62011,95686,146448,265010,18068,47044,77946,118341,252056,439037,77838,1015571,00,0.454
